target,lr,batchsize,seed,time,elbo,logZ,ess
Brownian,0.001,64,1,203.245490065,11.595603813517371,11.760631363868026,0.7104107509343041
Brownian,0.001,64,2,202.106841681,11.674380349578234,11.850291345643104,0.692603550048883
Brownian,0.001,64,3,200.748769168,11.734857020776403,11.897515204231858,0.733576984245927
Brownian,0.001,64,4,202.698158538,11.82315580127726,11.982808369834345,0.7282309692166157
Brownian,0.001,64,5,194.55588278,11.98391473334875,12.17116507504257,0.6929633943902923
Sonar,0.001,64,1,533.18860722,-131.42592060983145,-129.97501526538488,0.1485067672109236
Sonar,0.001,64,2,537.466854988,-131.48721459124658,-130.1022767580853,0.14535855487129046
Sonar,0.001,64,3,533.525756332,-131.84589596653507,-130.28641798362483,0.1259355749451388
Sonar,0.001,64,4,543.383992578,-131.97848364429183,-130.35860030028903,0.12856133031580003
Sonar,0.001,64,5,546.461562897,-131.211639275825,-129.7516499116968,0.12247472058011863
SparseRegression,0.001,64,1,341.477229546,-226.0300776252248,-89.15991780911199,0.0009765943616671542
SparseRegression,0.001,64,2,347.568328955,-220.7236845640734,-57.17297739799228,0.000976562501159406
SparseRegression,0.001,64,3,354.803964068,-221.14352763105288,-62.24186428219182,0.0009765625
SparseRegression,0.001,64,4,334.049923664,-224.61132227836922,-84.30368778112474,0.0009765629643244675
SparseRegression,0.001,64,5,331.03371842,-224.46506929982561,-84.94820966877708,0.0009765631861234155
TReg,0.001,64,1,242.739689491,-145.69745357542254,-145.69323569348992,0.9918190747662933
TReg,0.001,64,2,250.377639591,-145.62579084367516,-145.6226039925869,0.9938298798703785
TReg,0.001,64,3,244.196328694,-145.6303864275865,-145.62719637765278,0.9938108801568891
TReg,0.001,64,4,249.800425779,-145.60954306409565,-145.60672353138128,0.9945465403576779
TReg,0.001,64,5,247.801853319,-145.6417296964176,-145.63770873378485,0.9922468030276886
