tv,Ts,nparticles
0.7014284290812937,1,512
0.6973965635532271,2,512
0.6944548058073807,3,512
0.6936104851578572,4,512
0.6935892369666979,5,512
0.6934871955760264,6,512
0.6940241794177341,7,512
0.6945650924908477,8,512
0.6937692461599765,9,512
0.693552427053112,10,512
0.6940590542510998,11,512
0.6949836910940529,12,512
0.6950871021129846,13,512
0.6947962606450838,14,512
0.6940302053579377,15,512
0.693235834088384,16,512
0.6927675638433214,17,512
0.693063925615082,18,512
0.693266222498895,19,512
0.6930874899204581,20,512
0.6930475782537375,21,512
0.6924387508148923,22,512
0.6919299186381355,23,512
0.6909770315167746,24,512
0.6900771505097126,25,512
0.6896470774042591,26,512
0.689311567565432,27,512
0.6891768771621555,28,512
0.6890224721276531,29,512
0.6886772704208288,30,512
0.6883591062386506,31,512
0.6880790594950548,32,512
0.6873099271405548,33,512
0.6859848431066438,34,512
0.6849132353556843,35,512
0.6840556005441715,36,512
0.6833151997546056,37,512
0.6827983740681816,38,512
0.682075386328537,39,512
0.6811088347328939,40,512
0.6809325755108978,41,512
0.68058912169276,42,512
0.6801329058519869,43,512
0.6796322203391136,44,512
0.6790067176095654,45,512
0.6781631212906423,46,512
0.6772072845616279,47,512
0.6764163714652454,48,512
0.6759288928467567,49,512
0.6755816711094849,50,512
0.6752130633770281,51,512
0.6748170620119789,52,512
0.6742438680041384,53,512
0.6736852670649853,54,512
0.6731765715766806,55,512
0.6725613412991823,56,512
0.6720232099936292,57,512
0.6715546673907276,58,512
0.6709881546969293,59,512
0.6704672732853229,60,512
0.6699403215177823,61,512
0.6693801828152721,62,512
0.668856534247089,63,512
0.668167230144476,64,512
0.667455295890911,65,512
0.6671301863482746,66,512
0.6669197262795407,67,512
0.6666996040666251,68,512
0.6664389103783,69,512
0.6662083080206672,70,512
0.6659460559521121,71,512
0.665740947181675,72,512
0.6655520088327803,73,512
0.6652656847336116,74,512
0.6648742054771208,75,512
0.6645463025807661,76,512
0.6641282599054694,77,512
0.6636772568166505,78,512
0.6631442663665995,79,512
0.6626674149837195,80,512
0.6621884988125627,81,512
0.6617369404281324,82,512
0.6613114553733913,83,512
0.6610217578227882,84,512
0.6607666405669901,85,512
0.6605961409084518,86,512
0.6605465856734619,87,512
0.6604221402617613,88,512
0.6604978088732151,89,512
0.660615335887271,90,512
0.6606296222534452,91,512
0.660574630748055,92,512
0.6604938592385894,93,512
0.6604732756298712,94,512
0.6603731998445231,95,512
0.6602932722547019,96,512
0.6601255629563327,97,512
0.6600074801314587,98,512
0.6598068364299953,99,512
0.6595611261476789,100,512
0.6594833243319558,101,512
0.659431207397502,102,512
0.6595083459832849,103,512
0.6597009857269582,104,512
0.6599770472928932,105,512
0.6602479203627349,106,512
0.6603377216239878,107,512
0.6604552897838672,108,512
0.660626624315241,109,512
0.6607773992292586,110,512
0.6609886185418653,111,512
0.66128235306605,112,512
0.66157867006866,113,512
0.6618434882999987,114,512
0.662045943916426,115,512
0.6623095235866936,116,512
0.6626080834014334,117,512
0.6628407747552558,118,512
0.6630595682831912,119,512
0.6632289542248165,120,512
0.6633776119787145,121,512
0.6634527059976288,122,512
0.6635314432338406,123,512
0.663694546127377,124,512
0.6638922558703405,125,512
0.6640688901224562,126,512
0.664219744979544,127,512
0.6643769918495531,128,512
0.6644985780805333,129,512
0.6645456349372371,130,512
0.6645855519458267,131,512
0.6645774976312437,132,512
0.6645472019428129,133,512
0.664544346429576,134,512
0.6644132630660518,135,512
0.6643601396851413,136,512
0.6642477741228726,137,512
0.6641748871676522,138,512
0.6640910720343678,139,512
0.6639521314656893,140,512
0.6638132101839175,141,512
0.6637404526312419,142,512
0.6637081096750361,143,512
0.6637273026719331,144,512
0.6637399831194707,145,512
0.663824066998048,146,512
0.6638903605682049,147,512
0.6639910166711441,148,512
0.6640903216854535,149,512
0.6641080723041694,150,512
0.6640775643524031,151,512
0.6640714852051117,152,512
0.6640809329106675,153,512
0.6641203840394834,154,512
0.6641570744822674,155,512
0.6640565719362166,156,512
0.6639743001934124,157,512
0.6638311051491659,158,512
0.6636898410156978,159,512
0.6635683004005749,160,512
0.6635498296604411,161,512
0.6635800164130872,162,512
0.6635868348296236,163,512
0.6635916731701231,164,512
0.6634905795230229,165,512
0.6633560183535642,166,512
0.6632256889978461,167,512
0.6631680606499325,168,512
0.6630961664740815,169,512
0.6630008030339085,170,512
0.6628643694513848,171,512
0.6627265048802976,172,512
0.6625726726719579,173,512
0.6624415756018828,174,512
0.6622954876566226,175,512
0.6621201830793859,176,512
0.661959130160071,177,512
0.6617907894492571,178,512
0.6616294644525734,179,512
0.6614569363873102,180,512
0.6612232105543698,181,512
0.6609986662245562,182,512
0.6606378089111012,183,512
0.6602491916110316,184,512
0.6599457819240617,185,512
0.6596387432923632,186,512
0.6593649586956822,187,512
0.6591016359651741,188,512
0.6587894723888769,189,512
0.6584895899311619,190,512
0.6581448291577245,191,512
0.6577753570679644,192,512
0.6573578862970085,193,512
0.6569524305679422,194,512
0.6565808383495192,195,512
0.6561256610349566,196,512
0.6556986965260692,197,512
0.6553027511591829,198,512
0.6549354825226835,199,512
0.6545672774413104,200,512
0.6542396615416359,201,512
0.6539498739121207,202,512
0.6536559159117125,203,512
0.6534410750836332,204,512
0.6532077046929261,205,512
0.6530530122386317,206,512
0.6528954013009717,207,512
0.6527404283547504,208,512
0.6526282759285309,209,512
0.6524848033902964,210,512
0.6522983560967673,211,512
0.6521349654266031,212,512
0.6519248613732455,213,512
0.6517225447903456,214,512
0.6515298255867443,215,512
0.6513375005688109,216,512
0.6511478324359676,217,512
0.6509599043777381,218,512
0.6507847511186776,219,512
0.6506152434698417,220,512
0.6504760567475497,221,512
0.6503254628929408,222,512
0.650160447215591,223,512
0.649995564792532,224,512
0.6498962018815636,225,512
0.6497803864154095,226,512
0.6496497674887202,227,512
0.6495203678806631,228,512
0.6494205856269814,229,512
0.6493073293932965,230,512
0.6491510186282511,231,512
0.6489512106474677,232,512
0.6487162257112399,233,512
0.6485116756880527,234,512
0.6482958058570274,235,512
0.6480730938013858,236,512
0.6478537486325767,237,512
0.647638494629162,238,512
0.6474590250736201,239,512
0.6472632357457776,240,512
0.6470959620289626,241,512
0.6469913092797808,242,512
0.6469235890039189,243,512
0.6468531075138289,244,512
0.6467417242253127,245,512
0.6466485817860828,246,512
0.6465885598777601,247,512
0.6465650052992097,248,512
0.6465387541326725,249,512
0.6465171874606326,250,512
0.6464573051447572,251,512
0.6463753308495296,252,512
0.6462565131056475,253,512
0.6460871741902514,254,512
0.6459295836085338,255,512
0.6457568202748183,256,512
0.6456049785364255,257,512
0.6454975586322865,258,512
0.6454255366726962,259,512
0.6453342991792911,260,512
0.6452616910044385,261,512
0.6452022977542772,262,512
0.6451303511532881,263,512
0.6450413480381666,264,512
0.6449168957030749,265,512
0.6447763551461752,266,512
0.6445943630923041,267,512
0.6444139517952929,268,512
0.6442157179572289,269,512
0.6440305217957617,270,512
0.6438531839333637,271,512
0.6436729691221033,272,512
0.6434737292546449,273,512
0.6432910611201248,274,512
0.6431091149369743,275,512
0.6429369544701644,276,512
0.6427718795359276,277,512
0.6426293745114993,278,512
0.6424592365363274,279,512
0.6423109645653884,280,512
0.6421653726261332,281,512
0.6420244337471438,282,512
0.6419120006197452,283,512
0.6418125783808266,284,512
0.6417024985289496,285,512
0.6416085450944534,286,512
0.6416005240620037,287,512
0.6415929449787513,288,512
0.6416029447885635,289,512
0.6416010213231699,290,512
0.6415631232733361,291,512
0.6414873253674914,292,512
0.6413849727021211,293,512
0.6412874729723174,294,512
0.6412404072645709,295,512
0.6412146272009164,296,512
