seed,kernel,step_size,flow_length,target,flowtype,nchains,logZ,elbo,ess,nparticles
10,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.30091128456731253,-0.36845459464317964,0.8528957864894458,64
10,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.21979314234447322,-0.288958097719466,0.8629521393440239,64
10,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.060781829808836285,-0.11601018224283512,0.8522736357693331,64
10,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.22702751962983658,-0.2623464801193196,0.9207399668679328,64
10,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.10263645886007478,-0.23837509279867797,0.5628868936865535,64
10,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.2088177179598798,-0.21323059596187427,0.9929666827554487,64
11,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.29478969471139616,-0.35136570364829534,0.8590338992280893,64
11,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.007215186390322259,-0.1288557383793167,0.6352402581707193,64
11,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.13342467234338518,-0.17147138166137618,0.898311342816714,64
11,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.16187506809573238,-0.22057531099092395,0.8614231172310185,64
11,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.2525278931010666,-0.28809410360065857,0.941740361181827,64
11,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.2023229522234118,-0.2041999651992359,0.9963536802275647,64
12,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.23045945521150024,-0.29319779509969446,0.8708946345390894,64
12,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.1294833706969163,-0.2360246332596491,0.6865752978461769,64
12,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.22668469088387733,-0.24125078176269663,0.9702412586034199,64
12,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.2381571565606957,-0.279196647555643,0.9144443269347291,64
12,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.2602469519544126,-0.31534463089265347,0.912693409021885,64
12,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.2053075355415821,-0.20683473308431308,0.9969235555033774,64
13,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.20224618749627776,-0.3065529232466123,0.7146485474347049,64
13,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.2110692010722035,-0.28341152962064387,0.8426816444288884,64
13,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.1007890541507459,-0.1552139964594559,0.8545611022198891,64
13,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.18162448044484636,-0.23110599433786788,0.9006154424018928,64
13,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.23019089241158452,-0.283484893747413,0.8951683692697631,64
13,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.21622261999483428,-0.218956661516059,0.9946737127793692,64
14,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.24615753765409254,-0.32451586905973806,0.7834144726010278,64
14,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.1376254702673032,-0.20384424000806492,0.8603217714561195,64
14,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.05844844106011138,-0.14237650745546926,0.7279257177296083,64
14,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.21064243879537736,-0.24469623814128638,0.9350821194681719,64
14,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.19750512265514697,-0.3011951854545587,0.7264109238867988,64
14,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.18120184708252474,-0.18275520844595775,0.996988808420856,64
15,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.19155926799987455,-0.3040693726161527,0.6365686680539911,64
15,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.1633125210488151,-0.2683927936937425,0.7189573041265339,64
15,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.11836150447947258,-0.16944214496086868,0.8464657159937687,64
15,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.23720697628275955,-0.2813020171726252,0.9067062113834723,64
15,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.25953872681032397,-0.3274087781148115,0.8661220293064356,64
15,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.22252964408269538,-0.22412123749223278,0.9968440022884941,64
16,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.2287419799400694,-0.29502387161652077,0.8454011070852735,64
16,MF.RWMH,0.5,3000,Banana,MF.DeterministicMixFlow,1,-0.18153931410067603,-0.26069320441483884,0.8353038973089709,64
16,MF.RWMH,0.5,3000,Banana,MF.IRFMixFlow,1,-0.11012897642314545,-0.18422926152750213,0.6660512326264879,64
16,MF.RWMH,0.5,3000,WarpedGaussian,MF.BackwardIRFMixFlow,1,-0.21520853342241697,-0.26154998349690933,0.9013732204744813,64
16,MF.RWMH,0.5,3000,WarpedGaussian,MF.DeterministicMixFlow,1,-0.27261210413877457,-0.3247468096268145,0.9094530565816216,64
16,MF.RWMH,0.5,3000,WarpedGaussian,MF.IRFMixFlow,1,-0.20335296026928695,-0.20445318946520863,0.9978345670857918,64
17,MF.RWMH,0.5,3000,Banana,MF.BackwardIRFMixFlow,1,-0.16722557035025254,-0.32525359986005553,0.6461197698887413,64
